id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,old_price,new_price,tipo_cambio
19083,19081,variation,748927060621,AMINO ENERGY RTD SPANLING AE GRAPE OPTIMUN NUTRICION,313,231,instock,instock,True,43.2,3.60,stock+/-
19074,19071,variation,748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,1586,1564,instock,instock,True,57.6,4.00,stock+/-
18893,18887,variation,608631655424,CREATINA STIM PRO52 SERV. FRUIT PUNCH IMPULSE,52,51,instock,instock,True,32.99,32.99,stock+/-
21121,21118,variation,703556204907,BCCA+ GLUTAMINA 30 SERV 330G PINA COLADA IMPULSE (AMINO BCAA),1,94,instock,outofstock,True,32.99,29.99,stock+/-
19856,19843,variation,748927026665,AMINO ENERGY FRUIT FUSION 270 G,127,125,instock,instock,True,32.99,32.99,stock+/-
19852,19843,variation,748927054002,AMINO ENERGY BLUEBERRY MOJITO 270 G,29,26,instock,instock,True,32.99,32.99,stock+/-
19087,19081,variation,748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,305,222,instock,instock,True,43.2,3.60,stock+/-
268,0,simple,853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1606,1467,instock,instock,True,24.99,24.99,stock+/-
18913,18910,variation,181030000168,XTEND ORIGINAL 90 SERV. BLUE RASBERRY ICE,6,0,outofstock,outofstock,True,59.99,59.99,stock+/-
140,0,simple,811213027513,BPI MICRONIZED CREATINA 600G UNFLAVORED,104,103,instock,instock,True,41.96,41.96,stock+/-
19281,19277,variation,810121055298,HIDRATACION LEMON LIME,14,12,instock,instock,True,35.99,35.99,stock+/-
18190,18186,variation,745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,88,96,instock,instock,True,95.99,95.99,stock+/-
19089,19081,variation,748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,318,275,instock,instock,True,43.2,3.60,stock+/-
13114,0,simple,850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,291,248,instock,instock,True,44.99,44.99,stock+/-
20468,20464,variation,842595131628,C4 PERFORMANCE 16OZ CREAMISCLE,97,92,instock,instock,True,45.6,3.80,stock+/-
19257,19253,variation,810121054857,AMINO K.E.M VICTORY PUNCHS- EVOGEN,4,3,outofstock,outofstock,True,49.99,49.99,stock+/-
19123,19121,variation,850049150651,INT-WHEY-BLEND-COOKIES-CREAM-F L - 5LB (PROTEINA BLEND),3,1,outofstock,outofstock,True,99.99,99.99,stock+/-
19355,19354,variation,810121055908,CARNIGEN PREMIUN LIQUID VICTORY PUNCH-EVOGEN,18,15,instock,instock,True,34.99,34.99,stock+/-
18908,18903,variation,810390028344,ALPHA AMINO 30 SERV. WATERMELON CELLUCOR,11,10,instock,instock,True,29.99,29.99,stock+/-
14415,0,simple,703556204785,CORESHIELD -XR MULTIVITAMINAS,50,43,instock,instock,True,24.99,24.99,stock+/-
19735,19734,variation,810121056141,LIPOCIDE-IR TANGERINE-EVOGEN,20,18,instock,instock,True,49.99,49.99,stock+/-
18958,18955,variation,631656716979,MASS TECH -EXTREME 2000- VAINILLA 2000 6 LBS MUSCLETECH,2,0,outofstock,outofstock,True,52.99,52.99,stock+/-
20474,20464,variation,842595106596,C4 PERFORMANCE ENERGY 16OZ FROZEN BOMBSICLE,36,32,instock,instock,True,45.6,3.80,stock+/-
20466,20464,variation,842595106572,C4 PERFORMANCE ENERGY 16OZ STRAWBERY WATTERMELON ICE,70,62,instock,instock,True,45.6,3.80,stock+/-
19064,19061,variation,650076635257,VMS-PROTEIN ISOLATE-HIDROLIZED BIO-ACTIVE DE FRESA 5LB,102,100,instock,instock,True,95.99,95.99,stock+/-
19781,19778,variation,859400007337,PROTEINA ISOFIT CHOCOLATE SHAKE 30 SERV. NUTREX,45,43,instock,instock,True,62.99,62.99,stock+/-
18864,18861,variation,7113101732151,ULTRA VEGANA CARAMELO PEANUT BUTTER 3 LBS IMPULSE,9,8,instock,instock,True,78.99,78.99,stock+/-
18934,18932,variation,7503013595776,WHEY PROTEIN 5 LBS DUTCH CHOCOLATE,7,6,outofstock,instock,True,75.99,75.99,stock+/-
19873,19871,variation,748927023190,AMINO ENERGY BLUE RASPBERRY 585G,98,97,instock,instock,True,59.99,59.99,stock+/-
19062,19061,variation,65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,23,17,instock,instock,True,95.99,95.99,stock+/-
19851,19843,variation,748927051698,AMINO ENERGY STRAWBERRY LIMON 270 G,31,30,instock,instock,True,32.99,32.99,stock+/-
19408,19402,variation,810121053966,EVP XTREME PEACH RINGS,2,1,outofstock,outofstock,True,49.99,49.99,stock+/-
11255,0,simple,850030689450,VITAMIN D3 REVIVE,48,47,instock,instock,True,20.99,20.99,stock+/-
21335,0,simple,817189020510,ISOJET VAINILLA BEAN 1.85 LBS 28 SERVING EVOGEN,11,5,outofstock,instock,True,58.99,58.99,stock+/-
19857,19843,variation,748927026658,AMINO ENERGY CONCOR GRAPE 270 G,23,22,instock,instock,True,32.99,32.99,stock+/-
18856,18854,variation,713101732038,PROLIVE BIO6 COFFEE LOVERS DE 6 LB IMPULSE,30,121,instock,instock,True,106.99,106.99,stock+/-
19263,19253,variation,810121058978,AMINO K.E.M BLACK BERRY LEMONADE- EVOGEN,5,3,outofstock,outofstock,True,45.99,45.99,stock+/-
19262,19253,variation,817189024532,AMINO K.E.M SOUR WATERMELON- EVOGEN,6,5,outofstock,outofstock,True,45.99,45.99,stock+/-
21626,21625,variation,705016354207,ISO 100 FRUITY PEBBLES 24 SERV. 1.6 LBS 24 SERVING DYMATIZE,337,295,instock,instock,True,54.99,54.99,stock+/-
19191,19183,variation,705016500420,ISO 100 BIRTHDAY CAKE 5 LBS DYMATIZE,21,20,instock,instock,True,140,140.00,stock+/-
21392,21391,variation,811662029496,MASS EXTREME 2500 TRIPLE CHOCOLATE MUTANT,55,52,instock,instock,True,49.99,49.99,stock+/-
9602,0,simple,850039445668,RAW-ESSENTIAL - PRE-WORKOUT ORANGE 30 SERVING,767,764,instock,instock,True,47.99,47.99,stock+/-
9200,0,simple,612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",81,79,instock,instock,True,21.99,21.99,stock+/-
19356,19354,variation,810121051306,CARNIGEN REMIUN LIQUID SOUR GUMMIES-EVOGEN,28,26,instock,instock,True,34.99,34.99,stock+/-
21457,0,simple,850057175646,BUM ESENCIAL PERFORMANCE NO-STIM BLUE RATHBERRY,213,212,instock,instock,True,49.99,49.99,stock+/-
19313,19304,variation,817189029100,EVP 3D SMASHIN PASSION ORANGE-EVOGEN,9,8,instock,instock,True,49.99,49.99,stock+/-
19818,19817,variation,748927028614,GOLD STANDARD WEY DOBLE RICH CHOCOLATE 2 LB,34,29,instock,instock,True,58.99,58.99,stock+/-
19088,19081,variation,748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,275,232,instock,instock,True,43.2,3.60,stock+/-
14413,0,simple,799142775425,BODY RESTORE 60 CAPSULAS- LANDERFIT,18,14,instock,instock,True,22.99,22.99,stock+/-
19009,19008,variation,612590416668,PREMIUN WHEY VAINILLA 26 SERVING- LANDERFIT,1,0,outofstock,outofstock,True,38.99,38.99,stock+/-
