id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,old_price,new_price,tipo_cambio
21455,0,simple,650076635219,CREATINA 80 SERVING UNFLAVORED,406,424,instock,instock,True,29.99,29.99,stock+/-
19409,19402,variation,810121053812,EVP XTREME N.O. POLAR CHERRY FROST-EVOGEN,8,6,outofstock,instock,True,49.99,49.99,stock+/-
13388,0,simple,810139572350,VITAMINA B COMPLEX 120 CAPSULAS,7,6,outofstock,instock,True,19.99,19.99,stock+/-
21392,21391,variation,811662029496,MASS EXTREME 2500 TRIPLE CHOCOLATE MUTANT,55,56,instock,instock,True,49.99,49.99,stock+/-
14414,0,simple,612590415883,COLAGENO-HIDROLIZADO + VITAMINA C + ÁCIDO HIALURONICO – SABOR NARANJA – 30 SERV – LANDERFIT,99,93,instock,instock,True,32.99,32.99,stock+/-
19818,19817,variation,748927028614,GOLD STANDARD WEY DOBLE RICH CHOCOLATE 2 LB,37,36,instock,instock,True,58.99,58.99,stock+/-
19033,19029,variation,860007286919,PROTEINA ISOLATADA DE 2 LBS CINNAMON  CRUNCH CEREAL,6,0,outofstock,outofstock,True,54.99,54.99,stock+/-
268,0,simple,853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1443,1670,instock,instock,True,24.99,24.99,stock+/-
18190,18186,variation,745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,99,95,instock,instock,True,95.99,95.99,stock+/-
9602,0,simple,850039445668,RAW-ESSENTIAL - PRE-WORKOUT ORANGE 30 SERVING,777,780,instock,instock,True,47.99,47.99,stock+/-
19089,19081,variation,748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,345,343,instock,instock,True,43.2,3.60,stock+/-
18858,18854,variation,713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,60,59,instock,instock,True,106.99,106.99,stock+/-
20476,20464,variation,842595133608,C4 PERFORMANCE ENERGY 16OZ HAWAIIAN PUNCH TROPIC JUICE,69,75,instock,instock,True,45.6,3.80,stock+/-
19074,19071,variation,748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,1585,1607,instock,instock,True,57.6,4.00,stock+/-
21457,0,simple,850057175646,BUM ESENCIAL PERFORMANCE NO-STIM BLUE RATHBERRY,233,238,instock,instock,True,49.99,49.99,stock+/-
21454,0,simple,810121050286,EVOFUSION CHOCOLATE PEANUTBUTTER 4.78 LBS EVOGEN,342,343,instock,instock,True,89.99,89.99,stock+/-
8556,0,simple,631656603118,TETOSTERONA BUSTER SIX STAR MUSCLETECH,9,8,instock,instock,True,35.22,35.22,stock+/-
13375,0,simple,713325974009,DHEA 180 CAPSULAS,3,2,outofstock,outofstock,True,25.99,25.99,stock+/-
19062,19061,variation,65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,26,25,instock,instock,True,95.99,95.99,stock+/-
20475,20464,variation,842595131277,C4 PERFORMANCE 16OZ POPSICLE GRAPE,201,207,instock,instock,True,45.6,3.80,stock+/-
20409,11808,variation,891597006113,RTD CARNIVOR 500ML VAINILLA (MUSCLE MEDS),785,687,instock,instock,True,57.6,5.00,stock+/-
20449,20442,variation,842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,47,46,instock,instock,True,45.6,3.80,stock+/-
20446,20442,variation,842595135541,C4 PERFORMANCE CHERRY BOMB FROST,23,22,instock,instock,True,45.6,3.80,stock+/-
