id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,old_price,new_price,tipo_cambio
20409,11808,variation,891597006113,RTD CARNIVOR 500ML VAINILLA (MUSCLE MEDS),856,784,instock,instock,True,57.6,5.00,stock+/-
108,0,simple,745560722015,"CREATINE SUPER ATP, 80 SERVS). 400G (UNFLAVORED) (CREATINA)",494,491,instock,instock,True,29.99,29.99,stock+/-
8555,0,simple,666222941004,XPEL CAPS (MHP),48,47,instock,instock,True,25.99,25.99,stock+/-
20470,20464,variation,842595131253,C4 PERFORMANCE 16OZ CHERRY,62,60,instock,instock,True,45.6,3.80,stock+/-
20408,11808,variation,891597006427,RTD CARNIVOR SALTED CARAMEL 500ML (MUSCLE MEDS),646,799,instock,instock,True,57.6,5.00,stock+/-
21394,21391,variation,811662029502,MASS EXTREME 2500 COOKIES & CREAM MUTANT,46,45,instock,instock,True,49.99,49.99,stock+/-
19876,19871,variation,748927055351,AMINO ENERGY GREEN APPLE 585G,3,0,outofstock,outofstock,True,59.99,59.99,stock+/-
20385,19183,variation,705016353217,ISO 100 VAINILLA 5 LBS DYMATIZE,129,152,instock,instock,True,148.99,148.99,stock+/-
19089,19081,variation,748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,771,758,instock,instock,True,43.2,3.60,stock+/-
22141,22139,variation,850057175899,GLYCEROL LIQUIDO STRAWERRY SLUSH RAW,28,25,instock,instock,True,39.99,39.99,stock+/-
11830,0,simple,748927023848,CREATINA ON POWDER MICRONISADA,269,442,instock,instock,True,39.99,39.99,stock+/-
22142,22139,variation,850057175882,GLYCEROL LIQUIDO UNFLAVORED 32 SERVING RAW,28,25,instock,instock,True,39.99,39.99,stock+/-
22133,22131,variation,810121056066,EVP XTREME AQ PREWORKOUT TANGERINE BLAST EVOGEN,426,424,instock,instock,True,4.99,4.99,stock+/-
19851,19843,variation,748927051698,AMINO ENERGY STRAWBERRY LIMON 270 G,27,53,instock,instock,True,32.99,32.99,stock+/-
