id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,tipo_cambio
19228,19225,variation,705016353415,ISO 100 FRUTY PEBBLES 3 LBS DYMATIZE,15,14,instock,instock,True,stock+/-
19802,19800,variation,850026029055,WHEY 100% VAINILLA 2 LBS NUTREX,23,21,instock,instock,True,stock+/-
11255,0,simple,850030689450,VITAMIN D3 REVIVE,109,56,instock,instock,True,stock+/-
19308,19304,variation,810121057971,EVP 3D CITRUS CANDY- EVOGEN,6,7,instock,instock,True,stock+/-
18855,18854,variation,713101732045,PROLIVE BIO6 CRISPY TOFFEE 6 LBS IMPULSE,40,39,instock,instock,True,stock+/-
13372,0,simple,810014673165,CHROMIO PICOLINATE 10000 MG 240 CAPSULAS,4,3,outofstock,instock,True,stock+/-
20446,20442,variation,842595135541,C4 PERFORMANCE CHERRY BOMB FROST,48,47,instock,instock,True,stock+/-
19737,19734,variation,810121056158,LIPOCIDE-IR JUCY GRAPPE-EVOGEN,17,18,instock,instock,True,stock+/-
14413,0,simple,799142775425,BODY RESTORE 60 CAPSULAS- LANDERFIT,25,24,instock,instock,True,stock+/-
19084,19081,variation,748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,472,470,instock,instock,True,stock+/-
14414,0,simple,612590415883,COLAGENO-HIDROLIZADO + VITAMINA C + ÁCIDO HIALURONICO – SABOR NARANJA – 30 SERV – LANDERFIT,109,108,instock,instock,True,stock+/-
8555,0,simple,666222941004,XPEL CAPS (MHP),95,86,instock,instock,True,stock+/-
19074,19071,variation,748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,643,640,instock,instock,True,stock+/-
11242,0,simple,850030689283,VITAMIN K2 & D3 REVIVE,14,8,instock,instock,True,stock+/-
18188,18186,variation,703556204822,PROLIVE BIO5 WHITE CHOCORAINBOW DE 5 LB IMPULSE,39,38,instock,instock,True,stock+/-
19310,19304,variation,810121053997,EVP 3D VICTORY PUNCH- EVOGEN,5,6,outofstock,instock,True,stock+/-
18891,18887,variation,608631655431,CREATINA STIM PRO WATERMELON IMPULSE,47,46,instock,instock,True,stock+/-
