id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,old_price,new_price,tipo_cambio
19407,19402,variation,810121054000,EVP EXTREME N.O. VICTORY PUNCH-EVOGEN,1,0,outofstock,outofstock,True,49.99,49.99,stock+/-
19315,19304,variation,817189028257,EVP 3D BLUEBERRY APPLE-EVOGEN,9,10,instock,instock,True,49.99,49.99,stock+/-
20469,20464,variation,842595134957,C4 PERFORMANCE ENERGY 16OZ BLUE RASPBERRY JOLLY RANCHER,56,55,instock,instock,True,45.6,3.80,stock+/-
19254,19253,variation,817189024549,AMINO K.E.M PATRIOT POP- EVOGEN,10,9,instock,instock,True,45.99,45.99,stock+/-
268,0,simple,853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1470,1459,instock,instock,True,24.99,24.99,stock+/-
19256,19253,variation,810121057988,AMINO K.E.M JUICY GRAPE-EVOGEN,5,4,outofstock,outofstock,True,45.99,45.99,stock+/-
19087,19081,variation,748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,213,207,instock,instock,True,43.2,3.60,stock+/-
19064,19061,variation,650076635257,VMS-PROTEIN ISOLATE-HIDROLIZED BIO-ACTIVE DE FRESA 5LB,100,103,instock,instock,True,95.99,95.99,stock+/-
19084,19081,variation,748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,215,207,instock,instock,True,43.2,3.60,stock+/-
18190,18186,variation,745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,81,80,instock,instock,True,95.99,95.99,stock+/-
19255,19253,variation,810121057995,AMINO K.E.M CITRUS CANDY- EVOGEN,8,7,instock,instock,True,45.99,45.99,stock+/-
19754,19744,variation,817189029087,ISOJECT CINAMON CRUNCH 1.77 EVOGEN,1,0,outofstock,outofstock,True,58.99,58.99,stock+/-
19735,19734,variation,810121056141,LIPOCIDE-IR TANGERINE-EVOGEN,18,17,instock,instock,True,49.99,49.99,stock+/-
11154,0,simple,829263227135,DTOX KIDNEY DETOXIFIER MUSCLEOLOGY,33,34,instock,instock,True,26.99,26.99,stock+/-
20445,20442,variation,842595131741,C4 PERFORMANCE 16OZ ATOMIC GRAPE,16,15,instock,instock,True,45.6,3.80,stock+/-
19281,19277,variation,810121055298,HIDRATACION LEMON LIME,12,21,instock,instock,True,35.99,35.99,stock+/-
18908,18903,variation,810390028344,ALPHA AMINO 30 SERV. WATERMELON CELLUCOR,10,8,instock,instock,True,29.99,29.99,stock+/-
11149,0,simple,829263210137,CATEGORY 5 - CREATINA POWDER STIM FREE PREWORKOUT - MUSCLEOLOGY,30,27,instock,instock,True,34.99,34.99,stock+/-
18192,18186,variation,745560722152,PROLIVE BIO5 DE CHOCOLATE 5 LBS IMPULSE,210,209,instock,instock,True,95.99,95.99,stock+/-
19001,19000,variation,860007448911,RAW-SLEEP-STRAWBERRY-KIWI (SOPORTE PARA UN MEJOR SUEÑO REPARADOR),15,14,instock,instock,True,32.99,32.99,stock+/-
19306,19304,variation,810121058954,EVP 3D BLACK LEMONADE-EVOGEN,9,8,instock,instock,True,49.99,49.99,stock+/-
18191,18186,variation,745560722176,PROLIVE BIO5 COOKIS AND CREAM DE 5LB IMPULSE,107,108,instock,instock,True,95.99,95.99,stock+/-
19307,19304,variation,810121058701,EVP 3D PATRIOT POP- EVOGEN,11,9,instock,instock,True,49.99,49.99,stock+/-
19073,19071,variation,748927069815,PROTEIN SHAKE STRAWBERRY 325ML OPTIMUN NUTRICION,1145,1143,instock,instock,True,57.6,4.00,stock+/-
18194,18186,variation,608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,194,193,instock,instock,True,95.99,95.99,stock+/-
21460,0,simple,650076635226,GLUTAMINE 80SERVING UNFLAVORED,468,452,instock,instock,True,29.99,29.99,stock+/-
21455,0,simple,650076635219,CREATINA 80 SERVING UNFLAVORED,381,378,instock,instock,True,29.99,29.99,stock+/-
19356,19354,variation,810121051306,CARNIGEN REMIUN LIQUID SOUR GUMMIES-EVOGEN,26,25,instock,instock,True,34.99,34.99,stock+/-
20470,20464,variation,842595131253,C4 PERFORMANCE 16OZ CHERRY,63,62,instock,instock,True,45.6,3.80,stock+/-
11830,0,simple,748927023848,CREATINA ON POWDER MICRONISADA,322,320,instock,instock,True,39.99,39.99,stock+/-
13382,0,simple,810139574149,NAC DE 600 MG 30 CAPSULAS,21,20,instock,instock,True,19.99,19.99,stock+/-
19086,19081,variation,748927062748,AMINO ENERGY SPARLING AE MANGO PINIAPLE LIMONADE OPTIMUN NUTRICION,208,218,instock,instock,True,43.2,3.60,stock+/-
11858,0,simple,810121055113,VITAMIN D3 EVOGEN,31,30,instock,instock,True,19.99,19.99,stock+/-
21393,21391,variation,811662029489,MASS EXTREME 2500 VAINILLA ICE CREAM MUTANT,50,49,instock,instock,True,49.99,49.99,stock+/-
20406,11808,variation,891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),691,705,instock,instock,True,57.6,5.00,stock+/-
19083,19081,variation,748927060621,AMINO ENERGY RTD SPANLING AE GRAPE OPTIMUN NUTRICION,220,216,instock,instock,True,43.2,3.60,stock+/-
19854,19843,variation,748927026672,AMINO ENERGY WATERMELON 270 G,86,85,instock,instock,True,32.99,32.99,stock+/-
13381,0,simple,810014675367,NAC 120 CAPSULAS,63,50,instock,instock,True,34.99,34.99,stock+/-
21454,0,simple,810121050286,EVOFUSION CHOCOLATE PEANUTBUTTER 4.78 LBS EVOGEN,329,320,instock,instock,True,89.99,89.99,stock+/-
11853,0,simple,817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,18,16,instock,instock,True,29.99,29.99,stock+/-
19290,19289,variation,7503029523006,GLYCOJET CHERRY- EVOGEN,12,9,instock,instock,True,54.99,54.99,stock+/-
