codigo,nombre,wc_id,stock_anterior,stock_nuevo,status_nuevo,resultado
608631655431,CREATINA STIM PRO WATERMELON IMPULSE,18891,45,44,instock,OK
608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,18194,244,241,instock,OK
612590415838,PREMIUN WHEY LANDERFIT CHOCOLATE 26 SERVING,19010,26,25,instock,OK
612590416033,MELATONINA 10 MG 120 CAPSULAS- LANDERFIT,14429,22,21,instock,OK
612590416057,CLA -2000 120 CAPSULAS- LANDERFIT,9190,19,17,instock,OK
612590416446,VITAMINA C- 1000MG -LANDFERFIT,9214,9,8,instock,OK
612590416668,PREMIUN WHEY VAINILLA 26 SERVING- LANDERFIT,19009,3,2,outofstock,OK
612590416675,REDS & GREENS GREEN APPLE 30 SERV- LANDERFIT,19964,29,27,instock,OK
703556204751,L-CARNITINA 3500 WATERMELON IMPULSE,18870,8,7,instock,OK
703556204907,AMINO ESENCIAL 52 SERVING PINA COLADA IMPULSE,21121,4,3,outofstock,OK
713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,18858,56,55,instock,OK
713101732045,PROLIVE BIO6 CRISPY TOFFEE 6 LBS IMPULSE,18855,34,37,instock,OK
745560722022,"GLUTA MAX GLUTAMINA MICRONISADA, 80 SERV. 400G (UNFLAVORED) IMPULSE",109,11,10,instock,OK
745560722138,PROLIVE BIO5 VAINILLA DE 5 LB IMPULSE,18187,72,71,instock,OK
745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,18190,122,120,instock,OK
745560722152,PROLIVE BIO5 DE CHOCOLATE 5 LBS IMPULSE,18192,240,238,instock,OK
748927060133,GOLD STANDAR WHEY VAINILLA ICE CREAM 1.5 LBS 22 SERVING,19827,2,1,outofstock,OK
748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,19087,389,386,instock,OK
748927060621,AMINO ENERGY RTD SPANLING AE GRAPE OPTIMUN NUTRICION,19083,332,344,instock,OK
748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,19084,369,366,instock,OK
748927062748,AMINO ENERGY SPARLING AE MANGO PINIAPLE LIMONADE OPTIMUN NUTRICION,19086,369,368,instock,OK
748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,19089,448,457,instock,OK
748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,19088,391,401,instock,OK
810014671666,ALPHA LIPOIC ACID 600 MG 120 CAPSULAS,13368,12,11,instock,OK
810014675367,NAC 120 CAPSULAS,13381,64,62,instock,OK
810121055113,VITAMIN D3 EVOGEN,11858,31,30,instock,OK
810121055908,CARNIGEN PREMIUN LIQUID VICTORY PUNCH-EVOGEN,19355,20,19,instock,OK
810121056417,ISOJECT CHOCOLATE PEANUTBUTTER BANANA 1.76 LBS ISOJET EVOGEN,19750,2,1,outofstock,OK
817189020510,ISOJET VAINILLA BEAN 1.85 LBS 28 SERVING EVOGEN,21335,20,19,instock,OK
817189028264,AMINO K.E.M BLUEBERRY APPLE-EVOGEN,19261,8,7,instock,OK
817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,11853,46,42,instock,OK
842595111071,C4 PERFORMANCE16OZ CHERRYLIMEADE,20465,96,107,instock,OK
842595121766,C4 PERFORMANCE COSMIC RAINBOW,20471,117,116,instock,OK
842595131253,C4 PERFORMANCE 16OZ CHERRY,20470,91,103,instock,OK
842595131277,C4 PERFORMANCE 16OZ POPSICLE GRAPE,20475,185,207,instock,OK
842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,20467,2899,2902,instock,OK
842595131727,C4 PERFORMANCE 16OZ ELECTRIC SOUR APPLE,20447,69,68,instock,OK
842595131741,C4 PERFORMANCE 16OZ ATOMIC GRAPE,20445,34,31,instock,OK
842595134971,C4 PERFORMANCE ENERGY 16OZ GREEN APPLE JOLLY RANCHER,20473,81,80,instock,OK
842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,20448,47,59,instock,OK
842595135541,C4 PERFORMANCE CHERRY BOMB FROST,20446,31,28,instock,OK
850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,13114,352,351,instock,OK
850030689214,MULTI VITAMIN REVIVE,11236,7,6,outofstock,OK
850030689283,VITAMIN K2 & D3 REVIVE,11242,5,2,outofstock,OK
850030689450,VITAMIN D3 REVIVE,11255,55,53,instock,OK
850049150613,BETA ALANINE 60 SERVING RAW,11862,6,5,outofstock,OK
853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,268,1805,1801,instock,OK
859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,19782,78,77,instock,OK
891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),20406,728,738,instock,OK
891597006113,RTD CARNIVOR 500ML VAINILLA (MUSCLE MEDS),20409,777,788,instock,OK
891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),20407,701,713,instock,OK
891597006427,RTD CARNIVOR SALTED CARAMEL 500ML (MUSCLE MEDS),20408,760,771,instock,OK
