codigo,nombre,stock_actual,stock_nuevo,diferencia
608631655271,AMINO ESENCIAL 52 SERV. 520G BERRY ICE TEA IMPULSE,5,4,-1
608631655424,CREATINA STIM PRO52 SERV. FRUIT PUNCH IMPULSE,57,56,-1
608631655431,CREATINA STIM PRO WATERMELON IMPULSE,46,45,-1
608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,249,245,-4
612590415777,MULTI PAHSE MULTIVITAMIN 90 CAPSULAS- LANDERFIT,25,24,-1
612590415838,PREMIUN WHEY LANDERFIT CHOCOLATE 26 SERVING,30,26,-4
612590415883,COLAGENO-HIDROLIZADO + VITAMINA C + ÁCIDO HIALURONICO – SABOR NARANJA – 30 SERV – LANDERFIT,109,105,-4
612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",99,97,-2
612590416200,ULTRA GLUTAMINA 60 SERVING- LANDERFIT,5,2,-3
612590416644,"VEGAN-PROTEIN VAINILLA 2,04 LBS LANDERFIT",49,47,-2
612590416668,PREMIUN WHEY VAINILLA 26 SERVING- LANDERFIT,4,3,-1
631656716962,MASS TECH EXTREME 2000-6 LBS TRIPLE CHOCOLATE BROWNIE,26,20,-6
631656716979,MASS TECH -EXTREME 2000- VAINILLA 2000 6 LBS MUSCLETECH,7,4,-3
650076635257,VMS-PROTEIN ISOLATE-HIDROLIZED BIO-ACTIVE DE FRESA 5LB,119,116,-3
650076635264,VMS-PROTEIN ISOLATE- HIDROLIZED BIO-ACTIVE- CHOCOLATE5 LBS,62,61,-1
65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,34,33,-1
666222097404,SUPER FAT BURNER + (MHP),72,73,1
666222941004,XPEL CAPS (MHP),73,72,-1
703556204815,PROLIVE BIO5 BUTTER BLASTER DE 5 LBS IMPULSE,110,108,-2
703556204822,PROLIVE BIO5 WHITE CHOCORAINBOW DE 5 LB IMPULSE,37,32,-5
703556204846,PROLIVE BIO5 CARAMEL PEANUT BUTTER DE 5 LBS IMPULSE,46,44,-2
703556204907,AMINO ESENCIAL 52 SERVING PINA COLADA IMPULSE,5,4,-1
703556204938,CREATINA STIM PRO 52 SERV. ORANGE IMPULSE,18,17,-1
705016353217,ISO 100 VAINILLA 5 LBS DYMATIZE,164,160,-4
705016353415,ISO 100 FRUTY PEBBLES 3 LBS DYMATIZE,14,13,-1
705016353422,ISO 100 COCOA PEBBLES 3 LBS DYMATIZE,13,10,-3
705016358205,ISO 100 VAINILLA 20 SERV. 1.34 LBS DYMATIZE,192,185,-7
713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,58,55,-3
713101732038,PROLIVE BIO6 COFFEE LOVERS DE 6 LB IMPULSE,51,46,-5
713101732045,PROLIVE BIO6 CRISPY TOFFEE 6 LBS IMPULSE,38,34,-4
713101732113,ULTRA VEGANA VAINILLA 3 LBS IMPULSE,26,25,-1
713101732137,ULTRA VEGANA STRAWERRY ICE CREAM 3 LBS IMPULSE,13,11,-2
745560722015,"CREATINE SUPER ATP, 80 SERVS). 400G (UNFLAVORED) (CREATINA)",26,25,-1
745560722039,L- CARNITINA 3500 MANGO ALEGRE IMPULSE,6,4,-2
745560722138,PROLIVE BIO5 VAINILLA DE 5 LB IMPULSE,79,73,-6
745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,127,122,-5
745560722152,PROLIVE BIO5 DE CHOCOLATE 5 LBS IMPULSE,248,241,-7
745560722176,PROLIVE BIO5 COOKIS AND CREAM DE 5LB IMPULSE,98,92,-6
748927023848,CREATINA ON POWDER MICRONISADA,379,374,-5
748927028614,GOLD STANDARD WEY DOBLE RICH CHOCOLATE 2 LB,40,39,-1
748927028669,GOLD STANDARD WEY DOUBLE RICH CHOCOLATE 5 LBS,389,388,-1
748927028706,GOLD STANDAR WHEY VAINILLA ICE CREAM 5 LBS,43,42,-1
748927060607,AMINO ENERGY RTD SPARLING AE JUCY STRAWERRY OPTIMUN NUTRICION,85,82,-3
748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,438,391,-47
748927060621,AMINO ENERGY RTD SPANLING AE GRAPE OPTIMUN NUTRICION,344,332,-12
748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,379,371,-8
748927062748,AMINO ENERGY SPARLING AE MANGO PINIAPLE LIMONADE OPTIMUN NUTRICION,382,369,-13
748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,510,456,-54
748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,1597,1580,-17
748927066593,PROTEIN SHAKE CHOCOLATE 325 ML OPTIMUN NUTRICION,133,130,-3
748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,434,394,-40
748927069815,PROTEIN SHAKE STRAWBERRY 325ML OPTIMUN NUTRICION,1237,1233,-4
799142775449,HORMONAL BALANCE 90 CAPSULAS- LANDERFIT,51,50,-1
810014679488,RESVERATROL 700 MG 120 CAPSULA,15,14,-1
810014679570,YOHIMBINE120 CAPSULAS,82,81,-1
810121053997,EVP 3D VICTORY PUNCH- EVOGEN,6,5,-1
810121055113,VITAMIN D3 EVOGEN,32,31,-1
810121056486,BETA-ALANINE EVOGEN,19,18,-1
810121056714,ISOJECT CHURRO 1.71 LBS ISOJET EVOGEN,2,1,-1
810121056738,ISOJECT TIRAMISU 1.76 LBS ISOJET EVOGEN,2,1,-1
810121057018,HIDRATACION TANGERINE 30M SERVING,19,18,-1
810121058961,EVP XTREME BLACK BERRY LEMONADA,12,11,-1
810139572350,VITAMINA B COMPLEX 120 CAPSULAS,9,8,-1
810390028313,ALPHA AMINO 30 SERV. ICY BLUE RAZZ CELLUCOR,16,15,-1
810390028344,ALPHA AMINO 30 SERV. WATERMELON CELLUCOR,15,14,-1
811213027513,BPI MICRONIZED CREATINA 600G UNFLAVORED,106,105,-1
817189020176,GLYCOJET WATERMELON,8,7,-1
817189020510,ISOJET VAINILLA BEAN 1.85 LBS 28 SERVING EVOGEN,17,21,4
817189025270,EVP XTREME N.O.TROPIC THUNDER- EVOGEN,4,3,-1
817189028240,EVP XTREME N.O. BLUEBERRY APPLE-EVOGEN,3,2,-1
817189028530,EVP XTREMEN.O. SOUR CANDY-EVOGEN,3,2,-1
