codigo,nombre,stock_actual,stock_nuevo,diferencia
612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",95,94,-1
612590416057,CLA -2000 120 CAPSULAS- LANDERFIT,17,16,-1
612590416644,"VEGAN-PROTEIN VAINILLA 2,04 LBS LANDERFIT",47,46,-1
65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,31,30,-1
703556204751,L-CARNITINA 3500 WATERMELON IMPULSE,7,6,-1
748927028706,GOLD STANDAR WHEY VAINILLA ICE CREAM 5 LBS,42,41,-1
748927051308,AMINO ENERGY WATERMELON 585G,103,102,-1
748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,395,393,-2
748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,366,365,-1
748927062748,AMINO ENERGY SPARLING AE MANGO PINIAPLE LIMONADE OPTIMUN NUTRICION,368,364,-4
748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,466,465,-1
748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,1578,1576,-2
748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,401,397,-4
748927069815,PROTEIN SHAKE STRAWBERRY 325ML OPTIMUN NUTRICION,1231,1230,-1
810121056158,LIPOCIDE-IR JUCY GRAPPE-EVOGEN,18,17,-1
810121058695,EVP XTREME PATRIOT POP,4,3,-1
810139572350,VITAMINA B COMPLEX 120 CAPSULAS,8,7,-1
810390028320,ALPHA AMINO 30 SERV. FRUIT PUNCH CELLUCOR,8,7,-1
817189020510,ISOJET VAINILLA BEAN 1.85 LBS 28 SERVING EVOGEN,19,18,-1
817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,41,39,-2
842595106596,C4 PERFORMANCE ENERGY 16OZ FROZEN BOMBSICLE,51,50,-1
842595111095,C4 PERFORMANCE ENERGY 16OZ MIDNIGTH CHERRY,69,68,-1
842595131253,C4 PERFORMANCE 16OZ CHERRY,103,102,-1
842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,2900,2897,-3
842595133608,C4 PERFORMANCE ENERGY 16OZ HAWAIIAN PUNCH TROPIC JUICE,62,61,-1
842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,56,55,-1
842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,61,59,-2
850044753857,PROTEINA DE 4.8 LB VAINILLA PRIMEVAL LABS,68,67,-1
853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1797,1793,-4
853237000837,ISOFIT 30 SERVING STRAWERRY NUTREX,60,59,-1
859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,76,75,-1
891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),735,732,-3
891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),712,711,-1
