codigo,nombre,wc_id,stock_anterior,stock_nuevo,status_nuevo,resultado
612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",9200,95,94,instock,OK
612590416057,CLA -2000 120 CAPSULAS- LANDERFIT,9190,17,16,instock,OK
612590416644,"VEGAN-PROTEIN VAINILLA 2,04 LBS LANDERFIT",9151,47,46,instock,OK
65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,19062,31,30,instock,OK
703556204751,L-CARNITINA 3500 WATERMELON IMPULSE,18870,7,6,outofstock,OK
748927028706,GOLD STANDAR WHEY VAINILLA ICE CREAM 5 LBS,19838,42,41,instock,OK
748927051308,AMINO ENERGY WATERMELON 585G,19875,103,102,instock,OK
748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,19087,395,393,instock,OK
748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,19084,366,365,instock,OK
748927062748,AMINO ENERGY SPARLING AE MANGO PINIAPLE LIMONADE OPTIMUN NUTRICION,19086,368,364,instock,OK
748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,19089,466,465,instock,OK
748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,19074,1578,1576,instock,OK
748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,19088,401,397,instock,OK
748927069815,PROTEIN SHAKE STRAWBERRY 325ML OPTIMUN NUTRICION,19073,1231,1230,instock,OK
810121056158,LIPOCIDE-IR JUCY GRAPPE-EVOGEN,19737,18,17,instock,OK
810121058695,EVP XTREME PATRIOT POP,19416,4,3,outofstock,OK
810139572350,VITAMINA B COMPLEX 120 CAPSULAS,13388,8,7,instock,OK
810390028320,ALPHA AMINO 30 SERV. FRUIT PUNCH CELLUCOR,18907,8,7,instock,OK
817189020510,ISOJET VAINILLA BEAN 1.85 LBS 28 SERVING EVOGEN,21335,19,18,instock,OK
817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,11853,41,39,instock,OK
842595106596,C4 PERFORMANCE ENERGY 16OZ FROZEN BOMBSICLE,20474,51,50,instock,OK
842595111095,C4 PERFORMANCE ENERGY 16OZ MIDNIGTH CHERRY,20477,69,68,instock,OK
842595131253,C4 PERFORMANCE 16OZ CHERRY,20470,103,102,instock,OK
842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,20467,2900,2897,instock,OK
842595133608,C4 PERFORMANCE ENERGY 16OZ HAWAIIAN PUNCH TROPIC JUICE,20476,62,61,instock,OK
842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,20448,56,55,instock,OK
842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,20449,61,59,instock,OK
850044753857,PROTEINA DE 4.8 LB VAINILLA PRIMEVAL LABS,18979,68,67,instock,OK
853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,268,1797,1793,instock,OK
853237000837,ISOFIT 30 SERVING STRAWERRY NUTREX,19779,60,59,instock,OK
859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,19782,76,75,instock,OK
891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),20406,735,732,instock,OK
891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),20407,712,711,instock,OK
