codigo,nombre,esperado,real,estado
612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",94,94,OK
612590416057,CLA -2000 120 CAPSULAS- LANDERFIT,16,16,OK
612590416644,"VEGAN-PROTEIN VAINILLA 2,04 LBS LANDERFIT",46,46,OK
65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,30,30,OK
703556204751,L-CARNITINA 3500 WATERMELON IMPULSE,6,6,OK
748927028706,GOLD STANDAR WHEY VAINILLA ICE CREAM 5 LBS,41,41,OK
748927051308,AMINO ENERGY WATERMELON 585G,102,102,OK
748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,393,393,OK
748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,365,365,OK
748927062748,AMINO ENERGY SPARLING AE MANGO PINIAPLE LIMONADE OPTIMUN NUTRICION,364,364,OK
748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,465,465,OK
748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,1576,1576,OK
748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,397,397,OK
748927069815,PROTEIN SHAKE STRAWBERRY 325ML OPTIMUN NUTRICION,1230,1230,OK
810121056158,LIPOCIDE-IR JUCY GRAPPE-EVOGEN,17,17,OK
810121058695,EVP XTREME PATRIOT POP,3,3,OK
810139572350,VITAMINA B COMPLEX 120 CAPSULAS,7,7,OK
810390028320,ALPHA AMINO 30 SERV. FRUIT PUNCH CELLUCOR,7,7,OK
817189020510,ISOJET VAINILLA BEAN 1.85 LBS 28 SERVING EVOGEN,18,18,OK
817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,39,39,OK
842595106596,C4 PERFORMANCE ENERGY 16OZ FROZEN BOMBSICLE,50,50,OK
842595111095,C4 PERFORMANCE ENERGY 16OZ MIDNIGTH CHERRY,68,68,OK
842595131253,C4 PERFORMANCE 16OZ CHERRY,102,102,OK
842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,2897,2897,OK
842595133608,C4 PERFORMANCE ENERGY 16OZ HAWAIIAN PUNCH TROPIC JUICE,61,61,OK
842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,55,55,OK
842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,59,59,OK
850044753857,PROTEINA DE 4.8 LB VAINILLA PRIMEVAL LABS,67,67,OK
853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1793,1793,OK
853237000837,ISOFIT 30 SERVING STRAWERRY NUTREX,59,59,OK
859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,75,75,OK
891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),732,732,OK
891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),711,711,OK
