codigo,nombre,wc_id,stock_anterior,stock_nuevo,status_nuevo,resultado
608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,18194,241,239,instock,OK
612590415838,PREMIUN WHEY LANDERFIT CHOCOLATE 26 SERVING,19010,23,22,instock,OK
650076635257,VMS-PROTEIN ISOLATE-HIDROLIZED BIO-ACTIVE DE FRESA 5LB,19064,116,115,instock,OK
703556204751,L-CARNITINA 3500 WATERMELON IMPULSE,18870,6,5,outofstock,OK
703556204785,CORESHIELD -XR MULTIVITAMINAS,14415,57,56,instock,OK
703556204907,AMINO ESENCIAL 52 SERVING PINA COLADA IMPULSE,21121,3,2,outofstock,OK
705016353217,ISO 100 VAINILLA 5 LBS DYMATIZE,20385,160,159,instock,OK
705016358205,ISO 100 VAINILLA 20 SERV. 1.34 LBS DYMATIZE,20388,181,179,instock,OK
713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,18858,55,57,instock,OK
745560722138,PROLIVE BIO5 VAINILLA DE 5 LB IMPULSE,18187,71,70,instock,OK
745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,18190,120,119,instock,OK
745560722152,PROLIVE BIO5 DE CHOCOLATE 5 LBS IMPULSE,18192,238,237,instock,OK
748927022902,AMINO ENERGY ORANGE 585G,19872,71,70,instock,OK
748927023848,CREATINA ON POWDER MICRONISADA,11830,372,371,instock,OK
748927028669,GOLD STANDARD WEY DOUBLE RICH CHOCOLATE 5 LBS,19837,388,385,instock,OK
748927028706,GOLD STANDAR WHEY VAINILLA ICE CREAM 5 LBS,19838,41,40,instock,OK
748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,19089,465,462,instock,OK
748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,19088,397,387,instock,OK
810121054000,EVP EXTREME N.O. VICTORY PUNCH-EVOGEN,19407,2,1,outofstock,OK
810121055298,HIDRATACION LEMON LIME,19281,15,14,instock,OK
810121058961,EVP XTREME BLACK BERRY LEMONADA,19404,10,11,instock,OK
817189020190,GLYCOJET UN FLAVORED,19292,11,10,instock,OK
817189024587,EVPXTREME SOUR WATERMELON,19414,3,2,outofstock,OK
817189028240,EVP XTREME N.O. BLUEBERRY APPLE-EVOGEN,19412,2,3,outofstock,OK
817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,11853,38,39,instock,OK
842595106596,C4 PERFORMANCE ENERGY 16OZ FROZEN BOMBSICLE,20474,50,49,instock,OK
842595106619,C4 PERFORMANCE ENERGY 16OZ ARCTIC SNOW CONE,20431,42,48,instock,OK
842595121650,C4 PERFORMANCE 16OZ FRUIT PUNCH,20432,81,80,instock,OK
842595131277,C4 PERFORMANCE 16OZ POPSICLE GRAPE,20475,207,206,instock,OK
842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,20467,2897,2889,instock,OK
842595133608,C4 PERFORMANCE ENERGY 16OZ HAWAIIAN PUNCH TROPIC JUICE,20476,61,60,instock,OK
842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,20448,55,54,instock,OK
842595135541,C4 PERFORMANCE CHERRY BOMB FROST,20446,28,27,instock,OK
842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,20449,59,58,instock,OK
850026029055,WHEY 100% VAINILLA 2 LBS NUTREX,19802,73,71,instock,OK
850026029079,WHEY 100 % CHOCOLATE 2 LBS 26 SERVING NUTREX,19801,80,79,instock,OK
850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,13114,351,350,instock,OK
850044753857,PROTEINA DE 4.8 LB VAINILLA PRIMEVAL LABS,18979,67,66,instock,OK
850049150392,CBUM ITOLATE PROTEIN 2 LBS STRAWERRY BUN CAKE,19034,3,4,outofstock,OK
850060362675,WHEY 100% COOKIES AND CREAN 2LBS NUTREX,19803,80,79,instock,OK
853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,268,1792,1763,instock,OK
853237000769,ISOFIT COOKIES AND CREAM 70SRV 5 LBS NUTREX,19792,2,1,outofstock,OK
859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,19782,75,73,instock,OK
891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),20406,732,731,instock,OK
891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),20407,711,710,instock,OK
