codigo,nombre,stock_actual,stock_nuevo,diferencia
608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,241,239,-2
612590415838,PREMIUN WHEY LANDERFIT CHOCOLATE 26 SERVING,23,22,-1
650076635257,VMS-PROTEIN ISOLATE-HIDROLIZED BIO-ACTIVE DE FRESA 5LB,116,115,-1
703556204751,L-CARNITINA 3500 WATERMELON IMPULSE,6,5,-1
703556204785,CORESHIELD -XR MULTIVITAMINAS,57,56,-1
703556204907,AMINO ESENCIAL 52 SERVING PINA COLADA IMPULSE,3,2,-1
705016353217,ISO 100 VAINILLA 5 LBS DYMATIZE,160,159,-1
705016358205,ISO 100 VAINILLA 20 SERV. 1.34 LBS DYMATIZE,181,179,-2
713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,55,57,2
745560722138,PROLIVE BIO5 VAINILLA DE 5 LB IMPULSE,71,70,-1
745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,120,119,-1
745560722152,PROLIVE BIO5 DE CHOCOLATE 5 LBS IMPULSE,238,237,-1
748927022902,AMINO ENERGY ORANGE 585G,71,70,-1
748927023848,CREATINA ON POWDER MICRONISADA,372,371,-1
748927028669,GOLD STANDARD WEY DOUBLE RICH CHOCOLATE 5 LBS,388,385,-3
748927028706,GOLD STANDAR WHEY VAINILLA ICE CREAM 5 LBS,41,40,-1
748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,465,462,-3
748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,397,387,-10
810121054000,EVP EXTREME N.O. VICTORY PUNCH-EVOGEN,2,1,-1
810121055298,HIDRATACION LEMON LIME,15,14,-1
810121058961,EVP XTREME BLACK BERRY LEMONADA,10,11,1
817189020190,GLYCOJET UN FLAVORED,11,10,-1
817189024587,EVPXTREME SOUR WATERMELON,3,2,-1
817189028240,EVP XTREME N.O. BLUEBERRY APPLE-EVOGEN,2,3,1
817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,38,39,1
842595106596,C4 PERFORMANCE ENERGY 16OZ FROZEN BOMBSICLE,50,49,-1
842595106619,C4 PERFORMANCE ENERGY 16OZ ARCTIC SNOW CONE,42,48,6
842595121650,C4 PERFORMANCE 16OZ FRUIT PUNCH,81,80,-1
842595131277,C4 PERFORMANCE 16OZ POPSICLE GRAPE,207,206,-1
842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,2897,2889,-8
842595133608,C4 PERFORMANCE ENERGY 16OZ HAWAIIAN PUNCH TROPIC JUICE,61,60,-1
842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,55,54,-1
842595135541,C4 PERFORMANCE CHERRY BOMB FROST,28,27,-1
842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,59,58,-1
850026029055,WHEY 100% VAINILLA 2 LBS NUTREX,73,71,-2
850026029079,WHEY 100 % CHOCOLATE 2 LBS 26 SERVING NUTREX,80,79,-1
850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,351,350,-1
850044753857,PROTEINA DE 4.8 LB VAINILLA PRIMEVAL LABS,67,66,-1
850049150392,CBUM ITOLATE PROTEIN 2 LBS STRAWERRY BUN CAKE,3,4,1
850060362675,WHEY 100% COOKIES AND CREAN 2LBS NUTREX,80,79,-1
853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1792,1763,-29
853237000769,ISOFIT COOKIES AND CREAM 70SRV 5 LBS NUTREX,2,1,-1
859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,75,73,-2
891597004034,RTD CARNIVOR 500ML CHOCOLATE (MUSCLE MEDS),732,731,-1
891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),711,710,-1
