id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,old_price,new_price
20477,20464,variation,842595111095,C4 PERFORMANCE ENERGY 16OZ MIDNIGTH CHERRY,53,53,instock,instock,True,45.6,3.80
19759,19744,variation,810121056684,ISOJECT VAINILLA COLD BREW COOFFE 1.76 LBSEVOGEN,0,0,outofstock,outofstock,True,58.99,58.99
19750,19744,variation,810121056417,ISOJECT CHOCOLATE PEANUTBUTTER BANANA 1.76 LBS ISOJET EVOGEN,1,1,outofstock,outofstock,True,58.99,58.99
19847,19843,variation,748927059144,AMINO ENERGY JUICY STRAWBERRY 270 G,0,0,outofstock,outofstock,True,32.99,32.99
19406,19402,variation,810121057940,EVP XTREME N.O. JUCY GRAPPE-EVOGEN,3,3,outofstock,outofstock,True,49.99,49.99
19355,19354,variation,810121055908,CARNIGEN PREMIUN LIQUID VICTORY PUNCH-EVOGEN,18,18,instock,instock,True,34.99,34.99
19345,19342,variation,810121055274,EVP XTREME VICTORY PUNCH EVOGEN,0,0,outofstock,outofstock,True,49.99,49.99
19315,19304,variation,817189028257,EVP 3D BLUEBERRY APPLE-EVOGEN,10,10,instock,instock,True,49.99,49.99
19318,19304,variation,817189024600,EVP-3D TROPIC THUNDER-EVOGEN,3,3,outofstock,outofstock,True,49.99,49.99
18911,18910,variation,812135021665,XTEND ORIGINAL 90 SERV. ITALIAN BLOOD ORANGE,12,12,instock,instock,True,59.99,59.99
13392,0,simple,810014671598,ZING CHELATE 120 CAPSULAS,2,2,outofstock,outofstock,True,19.99,19.99
19317,19304,variation,817189027762,EVP 3D SOUR CANDY- EVOGEN,9,9,instock,instock,True,49.99,49.99
18195,18186,variation,703556204815,PROLIVE BIO5 BUTTER BLASTER DE 5 LBS IMPULSE,103,103,instock,instock,True,95.99,95.99
21460,0,simple,650076635226,GLUTAMINE 80SERVING UNFLAVORED,484,484,instock,instock,True,29.99,29.99
19310,19304,variation,810121053997,EVP 3D VICTORY PUNCH- EVOGEN,4,4,outofstock,outofstock,True,49.99,49.99
19034,19029,variation,850049150392,CBUM ITOLATE PROTEIN 2 LBS STRAWERRY BUN CAKE,0,0,outofstock,outofstock,True,54.99,54.99
13382,0,simple,810139574149,NAC DE 600 MG 30 CAPSULAS,23,23,instock,instock,True,19.99,19.99
19803,19800,variation,850060362675,WHEY 100% COOKIES AND CREAN 2LBS NUTREX,108,108,instock,instock,True,48.99,52.99
