id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,old_price,new_price,tipo_cambio
19365,19364,variation,810121055311,EVP- AQ PREMIUN LIQUID MUSCLE VOLUMIZER VICTIORY PUNCH,10,41,instock,instock,False,39.99,39.99,stock+/-
18194,18186,variation,608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,182,181,instock,instock,True,99.99,99.99,stock+/-
14431,0,simple,612590415777,MULTI PAHSE MULTIVITAMIN 90 CAPSULAS- LANDERFIT,19,18,instock,instock,True,25.99,25.99,stock+/-
19803,19800,variation,850060362675,WHEY 100% COOKIES AND CREAN 2LBS NUTREX,106,105,instock,instock,True,52.99,52.99,stock+/-
18855,18854,variation,713101732045,PROLIVE BIO6 CRISPY TOFFEE 6 LBS IMPULSE,113,112,instock,instock,True,115.99,115.99,stock+/-
19801,19800,variation,850026029079,WHEY 100 % CHOCOLATE 2 LBS 26 SERVING NUTREX,110,109,instock,instock,True,52.99,52.99,stock+/-
9214,0,simple,612590416446,VITAMINA C- 1000MG -LANDFERFIT,30,174,instock,instock,True,21.99,21.99,stock+/-
21546,21545,variation,650076635196,BCCA FRUIT PONCHS FLAVOR 30 SERVING,63,60,instock,instock,True,29.99,29.99,stock+/-
20469,20464,variation,842595134957,C4 PERFORMANCE ENERGY 16OZ BLUE RASPBERRY JOLLY RANCHER,50,49,instock,instock,True,45.6,3.80,stock+/-
21457,0,simple,850057175646,BUM ESENCIAL PERFORMANCE NO-STIM BLUE RATHBERRY,222,219,instock,instock,True,49.99,49.99,stock+/-
19802,19800,variation,850026029055,WHEY 100% VAINILLA 2 LBS NUTREX,94,93,instock,instock,True,52.99,52.99,stock+/-
22175,19029,variation,810193920852,ITHOLATE PROTEIN + CAFFEINE MOCHA LATTE,13,23,instock,instock,False,64.99,64.99,stock+/-
19074,19071,variation,748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,1531,1530,instock,instock,True,57.6,4.00,stock+/-
9190,0,simple,612590416057,CLA -2000 120 CAPSULAS- LANDERFIT,63,171,instock,instock,True,21.99,21.99,stock+/-
11830,0,simple,748927023848,CREATINA ON POWDER MICRONISADA,279,278,instock,instock,True,39.99,39.99,stock+/-
19086,19081,variation,748927062748,AMINO ENERGY SPARLING AE MANGO PINIAPLE LIMONADE OPTIMUN NUTRICION,772,770,instock,instock,True,43.2,3.60,stock+/-
21460,0,simple,650076635226,GLUTAMINE 80SERVING UNFLAVORED,443,439,instock,instock,True,29.99,29.99,stock+/-
21456,0,simple,810069201535,ANGRY SUPLEMENTS CREATINA 300 MG,363,357,instock,instock,True,24.99,24.99,stock+/-
22160,19364,variation,810121059265,EVP AQ JUCY GRAPE EVOGEN,12,119,instock,instock,False,39.99,39.99,stock+/-
14413,0,simple,799142775425,BODY RESTORE 60 CAPSULAS- LANDERFIT,17,16,instock,instock,True,22.99,22.99,stock+/-
22133,22131,variation,810121056066,EVP XTREME AQ PREWORKOUT TANGERINE BLAST EVOGEN,436,435,instock,instock,True,4.99,4.99,stock+/-
19367,19364,variation,817189024594,EVP -AQ PREMIUN LIQUIDO MUSCLE VOLUMIZER UN FLAVORED,0,35,instock,instock,False,39.99,39.99,stock+/-
19087,19081,variation,748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,810,808,instock,instock,True,43.2,3.60,stock+/-
19089,19081,variation,748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,796,794,instock,instock,True,43.2,3.60,stock+/-
22159,19364,variation,810121051177,EVP AQ WATERMELON EVOGEN,12,119,instock,instock,False,39.99,39.99,stock+/-
20467,20464,variation,842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,2133,2130,instock,instock,True,45.6,3.80,stock+/-
21454,0,simple,810121050286,EVOFUSION CHOCOLATE PEANUTBUTTER 4.78 LBS EVOGEN,404,403,instock,instock,True,89.99,89.99,stock+/-
20470,20464,variation,842595131253,C4 PERFORMANCE 16OZ CHERRY,70,67,instock,instock,True,45.6,3.80,stock+/-
19031,19029,variation,860007286902,CBUM PROTEINA ISOLATADA 2 LBS VAINILLA OATMEAL COOKIES,13,70,instock,instock,True,64.99,64.99,stock+/-
20409,11808,variation,891597006113,RTD CARNIVOR 500ML VAINILLA (MUSCLE MEDS),858,857,instock,instock,True,57.6,5.00,stock+/-
22174,19029,variation,850057175615,CBUM-ITHOLATE-PROTEIN-MILK AND COOKIES- 2LB (ISOLATADA),11,23,instock,instock,False,64.99,64.99,stock+/-
14414,0,simple,612590415883,COLAGENO-HIDROLIZADO + VITAMINA C + ÁCIDO HIALURONICO – SABOR NARANJA – 30 SERV – LANDERFIT,85,83,instock,instock,True,32.99,32.99,stock+/-
20466,20464,variation,842595106572,C4 PERFORMANCE ENERGY 16OZ STRAWBERY WATTERMELON ICE,66,65,instock,instock,True,45.6,3.80,stock+/-
18856,18854,variation,713101732038,PROLIVE BIO6 COFFEE LOVERS DE 6 LB IMPULSE,116,115,instock,instock,True,115.99,115.99,stock+/-
268,0,simple,853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1312,1298,instock,instock,True,24.99,24.99,stock+/-
19083,19081,variation,748927060621,AMINO ENERGY RTD SPANLING AE GRAPE OPTIMUN NUTRICION,834,833,instock,instock,True,43.2,3.60,stock+/-
21455,0,simple,650076635219,CREATINA 80 SERVING UNFLAVORED,307,306,instock,instock,True,29.99,29.99,stock+/-
9200,0,simple,612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",54,233,instock,instock,True,25.99,25.99,stock+/-
