id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,old_price,new_price
20385,19183,variation,705016353217,ISO 100 VAINILLA 5 LBS DYMATIZE,139,139,instock,instock,True,140,148.99
19186,19183,variation,705016353170,ISO 100 STRAWERRY 5 LBS DYMATIZE,0,0,outofstock,outofstock,True,140,148.99
19192,19183,variation,705016353187,ISO 100 GURMET CHOCOLATE 5 LBS DYMATIZE,0,0,outofstock,outofstock,True,140,148.99
19188,19183,variation,705016353446,ISO 100 COCOA PEBBLES 5 LBS DYMATIZE,4,4,outofstock,outofstock,True,140,148.99
19190,19183,variation,705016353439,ISO 100 FRUTY PEBLLES 5 LBS DYMATIZE,13,13,instock,instock,True,140,148.99
19191,19183,variation,705016500420,ISO 100 BIRTHDAY CAKE 5 LBS DYMATIZE,16,16,instock,instock,True,140,148.99
21626,21625,variation,705016354207,ISO 100 FRUITY PEBBLES 24 SERV. 1.6 LBS 24 SERVING DYMATIZE,283,282,instock,instock,True,54.99,56.99
