id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,old_price,new_price,tipo_cambio
19074,19071,variation,748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,1566,1565,instock,instock,True,57.6,4.00,stock+/-
20469,20464,variation,842595134957,C4 PERFORMANCE ENERGY 16OZ BLUE RASPBERRY JOLLY RANCHER,77,76,instock,instock,True,45.6,3.80,stock+/-
19086,19081,variation,748927062748,AMINO ENERGY SPARLING AE MANGO PINIAPLE LIMONADE OPTIMUN NUTRICION,327,315,instock,instock,True,43.2,3.60,stock+/-
19279,19277,variation,810121057001,HIDRATACION WATERMELON,15,14,instock,instock,True,35.99,35.99,stock+/-
19056,19055,variation,860008634443,PROTEIN COOKIE CHOCOLATE CHIP,36,0,outofstock,instock,True,4,4.00,stock+/-
268,0,simple,853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1729,1721,instock,instock,True,24.99,24.99,stock+/-
21460,0,simple,650076635226,GLUTAMINE 80SERVING UNFLAVORED,483,482,instock,instock,True,29.99,29.99,stock+/-
13384,0,simple,810014679488,RESVERATROL 700 MG 120 CAPSULA,13,12,instock,instock,True,39.99,39.99,stock+/-
19085,19081,variation,748927060607,AMINO ENERGY RTD SPARLING AE JUCY STRAWERRY OPTIMUN NUTRICION,62,58,instock,instock,True,43.2,3.60,stock+/-
21456,0,simple,810069201535,ANGRY SUPLEMENTS CREATINA 300 MG,551,550,instock,instock,True,24.99,24.99,stock+/-
19084,19081,variation,748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,308,306,instock,instock,True,43.2,3.60,stock+/-
18190,18186,variation,745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,114,112,instock,instock,True,95.99,95.99,stock+/-
20466,20464,variation,842595106572,C4 PERFORMANCE ENERGY 16OZ STRAWBERY WATTERMELON ICE,76,75,instock,instock,True,45.6,3.80,stock+/-
18864,18861,variation,7113101732151,ULTRA VEGANA CARAMELO PEANUT BUTTER 3 LBS IMPULSE,12,11,instock,instock,True,78.99,78.99,stock+/-
11853,0,simple,817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,27,26,instock,instock,True,29.99,29.99,stock+/-
18192,18186,variation,745560722152,PROLIVE BIO5 DE CHOCOLATE 5 LBS IMPULSE,227,225,instock,instock,True,95.99,95.99,stock+/-
21626,21625,variation,705016354207,ISO 100 FRUITY PEBBLES 20 SERV. 1.6 LBS 24 SERVING DYMATIZE,386,385,instock,instock,True,54.99,54.99,stock+/-
20474,20464,variation,842595106596,C4 PERFORMANCE ENERGY 16OZ FROZEN BOMBSICLE,49,47,instock,instock,True,45.6,3.80,stock+/-
21455,0,simple,650076635219,CREATINA 80 SERVING UNFLAVORED,450,448,instock,instock,True,29.99,29.99,stock+/-
19083,19081,variation,748927060621,AMINO ENERGY RTD SPANLING AE GRAPE OPTIMUN NUTRICION,331,330,instock,instock,True,43.2,3.60,stock+/-
19412,19402,variation,817189028240,EVP XTREME N.O. BLUEBERRY APPLE-EVOGEN,3,2,outofstock,outofstock,True,49.99,49.99,stock+/-
18191,18186,variation,745560722176,PROLIVE BIO5 COOKIS AND CREAM DE 5LB IMPULSE,88,87,instock,instock,True,95.99,95.99,stock+/-
19057,19055,variation,860008634467,PROTEIN COOKIE PEANUT BUTTER,45,9,instock,instock,True,4,4.00,stock+/-
19356,19354,variation,810121051306,CARNIGEN REMIUN LIQUID SOUR GUMMIES-EVOGEN,34,33,instock,instock,True,34.99,34.99,stock+/-
20475,20464,variation,842595131277,C4 PERFORMANCE 16OZ POPSICLE GRAPE,196,195,instock,instock,True,45.6,3.80,stock+/-
18187,18186,variation,745560722138,PROLIVE BIO5 VAINILLA DE 5 LB IMPULSE,65,63,instock,instock,True,95.99,95.99,stock+/-
19087,19081,variation,748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,348,345,instock,instock,True,43.2,3.60,stock+/-
128,0,simple,703556204808,COLAGENO DR. JOINT PROFESSIONAL JOINT SUPPORT TUTTI FRUTTI 52 SERV. IMPULSE,51,50,instock,instock,True,52.99,52.99,stock+/-
18194,18186,variation,608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,234,230,instock,instock,True,95.99,95.99,stock+/-
19803,19800,variation,850060362675,WHEY 100% COOKIES AND CREAN 2LBS NUTREX,78,77,instock,instock,True,48.99,48.99,stock+/-
11830,0,simple,748927023848,CREATINA ON POWDER MICRONISADA,365,364,instock,instock,True,39.99,39.99,stock+/-
9602,0,simple,850039445668,RAW-ESSENTIAL - PRE-WORKOUT ORANGE 30 SERVING,794,793,instock,instock,True,47.99,47.99,stock+/-
9723,0,simple,666222097404,SUPER FAT BURNER + (MHP),68,67,instock,instock,True,19.99,19.99,stock+/-
13114,0,simple,850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,333,327,instock,instock,True,44.99,44.99,stock+/-
20467,20464,variation,842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,2725,2721,instock,instock,True,45.6,3.80,stock+/-
18858,18854,variation,713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,57,56,instock,instock,True,106.99,106.99,stock+/-
18189,18186,variation,703556204846,PROLIVE BIO5 CARAMEL PEANUT BUTTER DE 5 LBS IMPULSE,40,39,instock,instock,True,95.99,95.99,stock+/-
19089,19081,variation,748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,386,378,instock,instock,True,43.2,3.60,stock+/-
21457,0,simple,850057175646,BUM ESENCIAL PERFORMANCE NO-STIM BLUE RATHBERRY,243,242,instock,instock,True,49.99,49.99,stock+/-
14414,0,simple,612590415883,COLAGENO-HIDROLIZADO + VITAMINA C + ÁCIDO HIALURONICO – SABOR NARANJA – 30 SERV – LANDERFIT,102,101,instock,instock,True,32.99,32.99,stock+/-
11803,0,simple,713101732076,PROTEINA VEGANA DE 4 LBS PANCAKE IMPULSE,10,9,instock,instock,True,74.99,74.99,stock+/-
19782,19778,variation,859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,67,66,instock,instock,True,59.99,59.99,stock+/-
19062,19061,variation,65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,27,26,instock,instock,True,95.99,95.99,stock+/-
19965,19963,variation,612590416651,REDS & GREENS PINA 30 SERVING- LANDERFIT,17,16,instock,instock,True,29.99,29.99,stock+/-
