id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,tipo_cambio
19260,19253,variation,817189025393,AMINO K.E.M TROPIC TUNDER-EVOGEN,11,12,instock,instock,True,stock+/-
11862,0,simple,850049150613,BETA ALANINE 60 SERVING RAW,8,7,instock,instock,True,stock+/-
20469,20464,variation,842595134957,C4 PERFORMANCE ENERGY 16OZ BLUE RASPBERRY JOLLY RANCHER,95,93,instock,instock,True,stock+/-
19259,19253,variation,817189028523,AMINO K.E.M SOUR CANDY- EVOGEN,6,7,instock,instock,True,stock+/-
19084,19081,variation,748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,385,381,instock,instock,True,stock+/-
19254,19253,variation,817189024549,AMINO K.E.M PATRIOT POP- EVOGEN,9,10,instock,instock,True,stock+/-
19256,19253,variation,810121057988,AMINO K.E.M JUICY GRAPE-EVOGEN,4,5,outofstock,instock,True,stock+/-
20476,20464,variation,842595133608,C4 PERFORMANCE ENERGY 16OZ HAWAIIAN PUNCH TROPIC JUICE,73,71,instock,instock,True,stock+/-
20385,19183,variation,705016353217,ISO 100 VAINILLA 5 LBS DYMATIZE,105,165,instock,instock,True,stock+/-
14413,0,simple,799142775425,BODY RESTORE 60 CAPSULAS- LANDERFIT,24,25,instock,instock,True,stock+/-
19085,19081,variation,748927060607,AMINO ENERGY RTD SPARLING AE JUCY STRAWERRY OPTIMUN NUTRICION,87,85,instock,instock,True,stock+/-
19407,19402,variation,810121054000,EVP EXTREME N.O. VICTORY PUNCH-EVOGEN,3,2,outofstock,instock,True,stock+/-
19431,19430,variation,7503029523005,CELL K.E.M PR V.2 TROPIC THUNDER -EVOGEN,15,16,instock,instock,True,stock+/-
20446,20442,variation,842595135541,C4 PERFORMANCE CHERRY BOMB FROST,37,36,instock,instock,True,stock+/-
19412,19402,variation,817189028240,EVP XTREME N.O. BLUEBERRY APPLE-EVOGEN,2,3,outofstock,instock,True,stock+/-
11248,0,simple,850030689016,ASHWAGANDHA KSM-66 REVIVE,19,18,instock,instock,True,stock+/-
19062,19061,variation,65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,33,34,instock,instock,True,stock+/-
19255,19253,variation,810121057995,AMINO K.E.M CITRUS CANDY- EVOGEN,7,8,instock,instock,True,stock+/-
19413,19402,variation,817189028530,EVP XTREMEN.O. SOUR CANDY-EVOGEN,2,3,outofstock,instock,True,stock+/-
13382,0,simple,810139574149,NAC DE 600 MG 30 CAPSULAS,25,24,instock,instock,True,stock+/-
9190,0,simple,612590416057,CLA -2000 120 CAPSULAS- LANDERFIT,20,19,instock,instock,True,stock+/-
20475,20464,variation,842595131277,C4 PERFORMANCE 16OZ POPSICLE GRAPE,223,222,instock,instock,True,stock+/-
11858,0,simple,810121055113,VITAMIN D3 EVOGEN,34,32,instock,instock,True,stock+/-
19416,19402,variation,810121058695,EVP XTREME PATRIOT POP,3,4,outofstock,instock,True,stock+/-
19087,19081,variation,748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,440,438,instock,instock,True,stock+/-
19432,19430,variation,810121058015,CELL K.E.M PEACH RING,3,4,outofstock,instock,True,stock+/-
