id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,old_price,new_price
19033,19029,variation,860007286919,PROTEINA ISOLATADA DE 2 LBS CINNAMON CRUNCH CEREAL,0,23,instock,outofstock,True,54.99,64.99
19031,19029,variation,860007286902,CBUM PROTEINA ISOLATADA 2 LBS VAINILLA OATMEAL COOKIES,0,70,instock,outofstock,True,54.99,64.99
9200,0,simple,612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",70,239,instock,instock,True,21.99,25.99
19034,19029,variation,850049150392,CBUM ITOLATE PROTEIN 2 LBS STRAWERRY BUN CAKE,0,70,instock,outofstock,True,54.99,64.99
19032,19029,variation,850039445798,CBUM PROTEINA 2 LBS ITOLATE BIRTHAY CAKE,1,1,outofstock,outofstock,True,54.99,64.99
9214,0,simple,612590416446,VITAMINA C- 1000MG -LANDFERFIT,6,174,instock,outofstock,True,20.99,21.99
