sku,nombre,tipo,wc_stock,wc_status,inv_stock,nuevo_status,diferencia,wc_price,inv_price,price_change,cambiara
850030689283,VITAMIN K2 & D3 REVIVE,simple,1,outofstock,1,outofstock,0,20.99,20.99,no,no
799142775449,HORMONAL BALANCE 90 CAPSULAS- LANDERFIT,simple,52,instock,52,instock,0,24.99,24.99,no,no
713325974009,DHEA 180 CAPSULAS,simple,5,outofstock,5,outofstock,0,25.99,25.99,no,no
748927023190,AMINO ENERGY BLUE RASPBERRY 585G,variation,92,instock,92,instock,0,59.99,59.99,no,no
748927025255,AMINO ENERGY ORANGE 270 G,variation,20,instock,20,instock,0,32.99,32.99,no,no
810121058978,AMINO K.E.M BLACK BERRY LEMONADE- EVOGEN,variation,3,outofstock,3,outofstock,0,45.99,45.99,no,no
817189020206,GLYCOJECT DE 2LB WILD BERRY EVOGEN,variation,5,outofstock,5,outofstock,0,54.99,54.99,no,no
810014675367,NAC 120 CAPSULAS,simple,50,instock,50,instock,0,34.99,34.99,no,no
799142775432,DIURETICO 40 CAPSULAS LANDERFIT,simple,14,instock,14,instock,0,20.13,20.13,no,no
810121056486,BETA-ALANINE EVOGEN,simple,17,instock,17,instock,0,24.99,24.99,no,no
859400007337,PROTEINA ISOFIT CHOCOLATE SHAKE 30 SERV. NUTREX,variation,38,instock,38,instock,0,62.99,62.99,no,no
612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",simple,73,instock,72,instock,-1,21.99,21.99,no,SI
810121053966,EVP XTREME PEACH RINGS,variation,1,outofstock,1,outofstock,0,49.99,49.99,no,no
748927026658,AMINO ENERGY CONCOR GRAPE 270 G,variation,14,instock,14,instock,0,32.99,32.99,no,no
817189029100,EVP 3D SMASHIN PASSION ORANGE-EVOGEN,variation,9,instock,9,instock,0,49.99,49.99,no,no
631656259957,MAS TECH EXTREME 2000- VAINILLA MILK SHAKE 12 LIBRAS,variation,2,outofstock,2,outofstock,0,79.99,79.99,no,no
842595111071,C4 PERFORMANCE16OZ CHERRYLIMEADE,variation,38,instock,36,instock,-2,45.6,3.80,SI,SI
850057175646,BUM ESENCIAL PERFORMANCE NO-STIM BLUE RATHBERRY,simple,196,instock,196,instock,0,49.99,49.99,no,no
811213027513,BPI MICRONIZED CREATINA 600G UNFLAVORED,simple,116,instock,116,instock,0,41.96,41.96,no,no
810121055328,EVP-AQ TROPIC THUNDER- EVOGEN,variation,0,outofstock,0,outofstock,0,44.99,44.99,no,no
612590416644,"VEGAN-PROTEIN VAINILLA 2,04 LBS LANDERFIT",simple,33,instock,33,instock,0,44.99,44.99,no,no
850030689016,ASHWAGANDHA KSM-66 REVIVE,simple,12,instock,12,instock,0,29.99,29.99,no,no
810121057001,HIDRATACION WATERMELON,variation,15,instock,15,instock,0,35.99,35.99,no,no
860007286919,PROTEINA ISOLATADA DE 2 LBS CINNAMON  CRUNCH CEREAL,variation,0,outofstock,0,outofstock,0,54.99,54.99,no,no
810014674001,R-ALPHA LIPOIC ACID 100 MG 120 CAPSULAS,simple,8,instock,8,instock,0,31.95,31.95,no,no
817189028530,EVP XTREMEN.O. SOUR CANDY-EVOGEN,variation,1,outofstock,1,outofstock,0,49.99,49.99,no,no
810121050286,EVOFUSION CHOCOLATE PEANUTBUTTER 4.78 LBS EVOGEN,simple,409,instock,409,instock,0,89.99,89.99,no,no
817189025270,EVP XTREME N.O.TROPIC THUNDER- EVOGEN,variation,1,outofstock,1,outofstock,0,49.99,49.99,no,no
850030689276,MULTI MINERAL REVIVE,simple,33,instock,33,instock,0,39.99,39.99,no,no
748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,variation,153,instock,150,instock,-3,43.2,3.60,SI,SI
860007448928,RAW-SLEEP-MIXED BERRY (SOPORTE PARA UN MEJOR SUEÑO REPARADOR),variation,17,instock,17,instock,0,32.99,32.99,no,no
748927023374,AMINO ENERGY FRUIT FUSION 585G,variation,95,instock,95,instock,0,59.99,59.99,no,no
7503029523006,GLYCOJET CHERRY- EVOGEN,variation,9,instock,9,instock,0,54.99,54.99,no,no
810014671666,ALPHA LIPOIC ACID 600 MG 120 CAPSULAS,simple,9,instock,9,instock,0,31.95,31.95,no,no
860007448911,RAW-SLEEP-STRAWBERRY-KIWI (SOPORTE PARA UN MEJOR SUEÑO REPARADOR),variation,14,instock,14,instock,0,32.99,32.99,no,no
